Designator,Mid X,Mid Y,Rotation,Layer
LED104,206.58,-132.55,0.0,top
LED105,181.92,-84.65,0.0,top
LED106,89.0,-126.1,0.0,top
LED107,104.58,-65.55,0.0,top
LED108,149.08,-125.05,0.0,top
LED109,83.08,-52.55,0.0,top
LED11,89.08,-108.15,0.0,top
LED110,143.235,-52.55,0.0,top
LED111,204.92,-52.65,0.0,top
LED112,240.42,-84.15,0.0,top
LED113,88.42,-77.55,0.0,top
LED114,183.08,-76.05,0.0,top
LED115,221.92,-124.05,0.0,top
LED116,212.58,-132.65,0.0,top
LED117,181.92,-88.65,0.0,top
LED118,89.08,-121.55,0.0,top
LED119,120.5,-65.1,0.0,top
LED12,149.42,-102.55,0.0,top
LED120,149.08,-130.15,0.0,top
LED121,87.58,-52.65,0.0,top
LED122,147.42,-52.65,0.0,top
LED123,210.42,-53.65,0.0,top
LED124,242.08,-92.65,0.0,top
LED125,93.42,-77.55,0.0,top
LED126,194.58,-77.05,0.0,top
LED127,226.92,-128.65,0.0,top
LED128,235.58,-137.65,0.0,top
LED129,182.0,-92.6,0.0,top
LED13,46.42,-52.65,0.0,top
LED130,89.08,-117.15,0.0,top
LED131,103.08,-77.15,0.0,top
LED132,149.08,-136.15,0.0,top
LED133,92.0,-52.55,0.0,top
LED134,151.92,-52.65,0.0,top
LED135,214.42,-57.15,0.0,top
LED136,65.92,-107.65,0.0,top
LED137,97.92,-77.65,0.0,top
LED138,199.08,-77.05,0.0,top
LED139,231.42,-133.55,0.0,top
LED14,100.08,-52.65,0.0,top
LED140,239.08,-141.55,0.0,top
LED141,182.0,-97.15,0.0,top
LED142,89.08,-112.65,0.0,top
LED143,149.08,-151.15,0.0,top
LED144,149.0,-142.1,0.0,top
LED145,191.58,-61.15,0.0,top
LED146,191.08,-69.15,0.0,top
LED147,168.92,-62.15,0.0,top
LED148,168.58,-69.05,0.0,top
LED15,160.42,-52.65,0.0,top
LED16,221.92,-64.65,0.0,top
LED17,66.08,-99.05,0.0,top
LED18,131.0,-77.1,0.0,top
LED19,208.08,-82.65,0.0,top
LED2,96.08,-52.55,0.0,top
LED20,187.58,-105.65,0.0,top
LED21,178.42,-28.55,0.0,top
LED22,194.08,-36.55,0.0,top
LED23,89.0,-103.15,0.0,top
LED24,152.42,-98.05,0.0,top
LED25,52.92,-52.65,0.0,top
LED26,106.42,-52.55,0.0,top
LED27,164.42,-52.65,0.0,top
LED28,225.42,-68.65,0.0,top
LED29,66.0,-94.6,0.0,top
LED3,155.92,-52.65,0.0,top
LED30,136.92,-77.15,0.0,top
LED31,211.58,-86.65,0.0,top
LED32,191.58,-109.65,0.0,top
LED33,171.92,-22.05,0.0,top
LED34,198.0,-36.6,0.0,top
LED35,92.58,-97.15,0.0,top
LED36,156.92,-92.15,0.0,top
LED37,57.58,-52.65,0.0,top
LED38,110.58,-52.55,0.0,top
LED39,174.42,-52.65,0.0,top
LED4,218.08,-61.15,0.0,top
LED40,229.42,-72.65,0.0,top
LED41,65.92,-90.15,0.0,top
LED42,142.58,-77.05,0.0,top
LED43,215.58,-89.05,0.0,top
LED44,195.08,-113.15,0.0,top
LED45,168.5,-22.1,0.0,top
LED46,203.92,-36.55,0.0,top
LED47,96.0,-93.6,0.0,top
LED48,160.92,-87.15,0.0,top
LED49,62.0,-52.6,0.0,top
LED5,65.92,-103.55,0.0,top
LED50,114.92,-52.55,0.0,top
LED51,177.92,-52.65,0.0,top
LED52,237.0,-74.6,0.0,top
LED53,67.42,-86.65,0.0,top
LED54,148.92,-77.05,0.0,top
LED55,217.5,-95.6,0.0,top
LED56,198.58,-117.05,0.0,top
LED57,163.475,-36.39,0.0,top
LED58,209.0,-36.6,0.0,top
LED59,99.58,-90.15,0.0,top
LED6,124.92,-77.15,0.0,top
LED60,217.08,-92.65,0.0,top
LED61,66.08,-52.55,0.0,top
LED62,124.92,-52.65,0.0,top
LED63,182.92,-51.65,0.0,top
